Fold,LGBM Native R2,LGBM Imputed R2,RF R2,NN R2
1,-7.360083738855636,-0.7635483515697188,-0.5711814747385962,-2.725138284817727
2,-0.16490226558324017,-0.1605368622212371,-0.12342672195129745,-0.41802555314767864
3,-0.5027682604734565,-0.6046278971657668,-0.7477076380172931,-0.7269147031943051
4,-0.28825336885858044,-0.39311540507642784,-0.5005529778990183,-0.1442527258079298
5,-0.637067975444324,-0.19248254769547435,-0.2589135743004285,-0.1892257804227706
