Record,Element,Radionuclide,Common name,Latin name,Compartment,CR,Uncert._CR,N_CR,Min_CR,Max_CR,C_plant,Uncert._C_plant,N_plant,C_soil,Uncert._C_soil,N_soil,Country,Site,K-G class,Contamination,Experiment,Year,Growth stage,Dry fraction,Preparation,Soil depth,Texture,Sand,Silt,Clay,OM,Exch. K,Exch. Ca,Exch. Mg,CEC,pH,QC meas.,QC sampl.,QC equip.,Reference
1,Cr,,Potato,Solanum tuberosum,Tubers,3.60E-02,,,,,1.60E+00,2.10E-01,,4.90E+01,1.50E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
2,Co,,Potato,Solanum tuberosum,Tubers,1.70E-02,,,,,4.20E-01,4.60E-01,,2.40E+01,4.50E+00,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
3,Ni,,Potato,Solanum tuberosum,Tubers,3.70E-02,,,,,7.70E-01,2.60E-01,,2.50E+01,4.20E+00,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
4,Cu,,Potato,Solanum tuberosum,Tubers,2.50E-01,,,,,4.60E+00,2.10E-01,,3.40E+01,1.10E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
5,Pb,,Potato,Solanum tuberosum,Tubers,1.60E-02,,,,,4.00E+00,4.60E+00,,1.40E+03,1.10E+03,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
6,Cd,,Potato,Solanum tuberosum,Tubers,1.30E-01,,,,,1.40E-01,1.30E-01,,8.60E-01,2.80E-01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
7,Zn,,Potato,Solanum tuberosum,Tubers,8.00E-02,,,,,1.40E+01,1.00E+01,,1.80E+02,9.50E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
8,Mn,,Potato,Solanum tuberosum,Tubers,6.50E-02,,,,,3.60E+01,2.30E+01,,1.10E+03,2.20E+02,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
9,Mo,,Potato,Solanum tuberosum,Tubers,1.20E-01,,,,,1.10E-01,1.20E-01,,8.90E-01,1.50E-01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
10,Cr,,Potato,Solanum tuberosum,Leaves,6.60E-02,,,,,2.10E+00,5.50E-01,,4.90E+01,1.50E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
11,Co,,Potato,Solanum tuberosum,Leaves,4.90E-02,,,,,7.60E-01,6.20E-01,,2.40E+01,4.50E+00,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
12,Ni,,Potato,Solanum tuberosum,Leaves,1.90E-01,,,,,3.10E+00,1.70E+00,,2.50E+01,4.20E+00,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
13,Cu,,Potato,Solanum tuberosum,Leaves,1.10E+00,,,,,1.60E+01,1.60E+00,,3.40E+01,1.10E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
14,Pb,,Potato,Solanum tuberosum,Leaves,4.70E-02,,,,,3.50E+00,1.40E+00,,1.40E+03,1.10E+03,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
15,Cd,,Potato,Solanum tuberosum,Leaves,,,,,,6.00E-02,3.00E-02,,8.60E-01,2.80E-01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
16,Zn,,Potato,Solanum tuberosum,Leaves,4.20E-01,,,,,2.90E+01,3.50E+00,,1.80E+02,9.50E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
17,Mn,,Potato,Solanum tuberosum,Leaves,1.20E+00,,,,,3.30E+02,2.30E+02,,1.10E+03,2.20E+02,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
18,As,,Potato,Solanum tuberosum,Leaves,4.20E-01,,,,,4.00E-01,,,3.30E+00,9.40E-01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
19,Mo,,Potato,Solanum tuberosum,Leaves,2.90E-01,,,,,1.50E-01,4.50E-02,,8.90E-01,1.50E-01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
20,Cr,,Yam,Dioscorea spp.,Tubers,4.20E-02,,,,,1.90E+00,3.50E-01,,4.90E+01,1.50E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
21,Co,,Yam,Dioscorea spp.,Tubers,2.60E-03,,,,,5.50E-02,5.00E-03,,2.40E+01,4.50E+00,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
22,Ni,,Yam,Dioscorea spp.,Tubers,4.90E-03,,,,,1.50E-01,5.00E-02,,2.50E+01,4.20E+00,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
23,Cu,,Yam,Dioscorea spp.,Tubers,2.00E-01,,,,,5.30E+00,3.10E-01,,3.40E+01,1.10E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
24,Pb,,Yam,Dioscorea spp.,Tubers,4.00E-03,,,,,2.60E-01,2.00E-02,,1.40E+03,1.10E+03,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
25,Cd,,Yam,Dioscorea spp.,Tubers,2.00E-01,,,,,2.50E-02,5.00E-03,,8.60E-01,2.80E-01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
26,Zn,,Yam,Dioscorea spp.,Tubers,1.40E-01,,,,,1.00E+01,2.00E-01,,1.80E+02,9.50E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
27,Mn,,Yam,Dioscorea spp.,Tubers,2.70E-03,,,,,3.50E+00,5.00E-01,,1.10E+03,2.20E+02,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
28,As,,Yam,Dioscorea spp.,Tubers,3.80E-01,,,,,2.50E-01,5.00E-02,,3.30E+00,9.40E-01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
29,Mo,,Yam,Dioscorea spp.,Tubers,6.70E-02,,,,,4.50E-02,5.00E-02,,8.90E-01,1.50E-01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
30,Cr,,Cocoyam,Colocasia esculenta,Tubers,4.00E-02,,,,,1.70E+00,5.00E-02,,4.90E+01,1.50E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
31,Co,,Cocoyam,Colocasia esculenta,Tubers,7.40E-03,,,,,1.70E-01,3.00E-02,,2.40E+01,4.50E+00,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
32,Ni,,Cocoyam,Colocasia esculenta,Tubers,2.90E-02,,,,,5.50E-01,5.00E-02,,2.50E+01,4.20E+00,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
33,Cu,,Cocoyam,Colocasia esculenta,Tubers,6.10E-01,,,,,8.30E+00,3.50E-01,,3.40E+01,1.10E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
34,Pb,,Cocoyam,Colocasia esculenta,Tubers,8.00E-03,,,,,5.60E-01,4.50E-02,,1.40E+03,1.10E+03,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
35,Cd,,Cocoyam,Colocasia esculenta,Tubers,1.00E-01,,,,,,,,8.60E-01,2.80E-01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
36,Zn,,Cocoyam,Colocasia esculenta,Tubers,8.30E-01,,,,,6.00E+01,1.60E+00,,1.80E+02,9.50E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
37,Mn,,Cocoyam,Colocasia esculenta,Tubers,2.60E-02,,,,,3.20E+01,2.50E+00,,1.10E+03,2.20E+02,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
38,As,,Cocoyam,Colocasia esculenta,Tubers,<0.125,,,,,,,,3.30E+00,9.40E-01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
39,Mo,,Cocoyam,Colocasia esculenta,Tubers,1.10E+00,,,,,7.00E-01,2.50E-02,,8.90E-01,1.50E-01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
40,Cr,,Cassava,Manihot esculenta,Roots,2.70E-02,,,,,1.50E+00,1.70E-01,,4.90E+01,1.50E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
41,Co,,Cassava,Manihot esculenta,Roots,2.40E-03,,,,,6.40E-02,3.00E-02,,2.40E+01,4.50E+00,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
42,Ni,,Cassava,Manihot esculenta,Roots,2.50E-02,,,,,5.60E-01,2.40E-01,,2.50E+01,4.20E+00,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
43,Cu,,Cassava,Manihot esculenta,Roots,1.30E-01,,,,,2.70E+00,1.10E+00,,3.40E+01,1.10E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
44,Pb,,Cassava,Manihot esculenta,Roots,2.10E-02,,,,,8.70E+00,1.40E+01,,1.40E+03,1.10E+03,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
45,Cd,,Cassava,Manihot esculenta,Roots,1.60E-01,,,,,4.00E-02,3.00E-02,,8.60E-01,2.80E-01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
46,Zn,,Cassava,Manihot esculenta,Roots,1.00E-01,,,,,8.50E+00,4.80E+00,,1.80E+02,9.50E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
47,Mn,,Cassava,Manihot esculenta,Roots,8.80E-03,,,,,8.90E+00,4.70E+00,,1.10E+03,2.20E+02,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
48,As,,Cassava,Manihot esculenta,Roots,1.00E-01,,,,,2.00E-01,1.00E-01,,3.30E+00,9.40E-01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
49,Mo,,Cassava,Manihot esculenta,Roots,6.40E-02,,,,,7.00E-02,6.00E-02,,8.90E-01,1.50E-01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
50,Cr,,Cassava,Manihot esculenta,Leaves,2.40E-02,,,,,2.40E+00,1.90E+00,,4.90E+01,1.50E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
51,Co,,Cassava,Manihot esculenta,Leaves,1.80E-02,,,,,5.60E-01,4.60E-01,,2.40E+01,4.50E+00,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
52,Ni,,Cassava,Manihot esculenta,Leaves,1.60E-01,,,,,4.40E+00,1.60E+00,,2.50E+01,4.20E+00,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
53,Cu,,Cassava,Manihot esculenta,Leaves,3.70E-01,,,,,7.20E+00,1.30E+00,,3.40E+01,1.10E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
54,Pb,,Cassava,Manihot esculenta,Leaves,2.60E-02,,,,,3.60E+00,2.20E+00,,1.40E+03,1.10E+03,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
55,Cd,,Cassava,Manihot esculenta,Leaves,2.50E-01,,,,,5.20E-02,7.00E-02,,8.60E-01,2.80E-01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
56,Zn,,Cassava,Manihot esculenta,Leaves,9.50E-01,,,,,1.00E+02,3.60E+01,,1.80E+02,9.50E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
57,Mn,,Cassava,Manihot esculenta,Leaves,2.30E-01,,,,,2.20E+02,6.10E+01,,1.10E+03,2.20E+02,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
58,As,,Cassava,Manihot esculenta,Leaves,1.70E-01,,,,,3.00E-01,,,3.30E+00,9.40E-01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
59,Mo,,Cassava,Manihot esculenta,Leaves,2.20E-01,,,,,1.50E-01,9.00E-02,,8.90E-01,1.50E-01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
60,Cr,,Pumpkin,Cucurbita spp.,Leaves,6.40E-02,,,,,2.10E+00,2.50E-01,,4.90E+01,1.50E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
61,Co,,Pumpkin,Cucurbita spp.,Leaves,4.40E-02,,,,,6.40E-01,5.00E-02,,2.40E+01,4.50E+00,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
62,Ni,,Pumpkin,Cucurbita spp.,Leaves,8.50E-02,,,,,1.80E+00,2.50E-01,,2.50E+01,4.20E+00,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
63,Cu,,Pumpkin,Cucurbita spp.,Leaves,1.00E+00,,,,,1.70E+01,5.40E-01,,3.40E+01,1.10E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
64,Pb,,Pumpkin,Cucurbita spp.,Leaves,5.90E-02,,,,,5.50E+00,6.40E-01,,1.40E+03,1.10E+03,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
65,Cd,,Pumpkin,Cucurbita spp.,Leaves,4.80E+00,,,,,5.50E-01,7.00E-02,,8.60E-01,2.80E-01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
66,Zn,,Pumpkin,Cucurbita spp.,Leaves,9.10E-01,,,,,7.80E+01,1.60E+00,,1.80E+02,9.50E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
67,Mn,,Pumpkin,Cucurbita spp.,Leaves,4.60E-01,,,,,1.10E+02,8.50E+00,,1.10E+03,2.20E+02,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
68,As,,Pumpkin,Cucurbita spp.,Leaves,<0.17,,,,,,,,3.30E+00,9.40E-01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
69,Mo,,Pumpkin,Cucurbita spp.,Leaves,5.00E-01,,,,,4.00E-01,2.00E-01,,8.90E-01,1.50E-01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
70,Cr,,Lemongrass,Cymbopogon citratus,Leaves,2.60E-02,,,,,1.40E+00,1.80E-01,,4.90E+01,1.50E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
71,Co,,Lemongrass,Cymbopogon citratus,Leaves,2.20E-02,,,,,3.80E-01,1.90E-01,,2.40E+01,4.50E+00,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
72,Ni,,Lemongrass,Cymbopogon citratus,Leaves,4.90E-02,,,,,1.20E+00,6.00E-01,,2.50E+01,4.20E+00,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
73,Cu,,Lemongrass,Cymbopogon citratus,Leaves,1.30E-01,,,,,9.40E+00,1.60E+00,,3.40E+01,1.10E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
74,Pb,,Lemongrass,Cymbopogon citratus,Leaves,3.80E-02,,,,,1.40E+02,3.20E+01,,1.40E+03,1.10E+03,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
75,Cd,,Lemongrass,Cymbopogon citratus,Leaves,8.00E-01,,,,,4.10E-01,1.60E-01,,8.60E-01,2.80E-01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
76,Zn,,Lemongrass,Cymbopogon citratus,Leaves,4.20E-01,,,,,7.70E+01,4.30E+01,,1.80E+02,9.50E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
77,Mn,,Lemongrass,Cymbopogon citratus,Leaves,4.40E-01,,,,,4.50E+02,3.60E+02,,1.10E+03,2.20E+02,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
78,Mo,,Lemongrass,Cymbopogon citratus,Leaves,2.50E-01,,,,,1.80E-01,2.10E-01,,8.90E-01,1.50E-01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
79,U,U-238,Cassava,Manihot esculenta,Roots,1.00E-01,,,,,4.10E-01,,1,4.20E+00,,1,Ghana,Tano basin (CS1),Am,N,F,,R,,Washed,0-20,,,,,,,,,,,0,1,1,2
80,U,U-238,Cassava,Manihot esculenta,Roots,6.00E-02,,,,,5.30E-01,,1,9.00E+00,,1,Ghana,Tano basin (CS2),Am,N,F,,R,,Washed,0-20,,,,,,,,,,,0,1,1,2
81,U,U-238,Cassava,Manihot esculenta,Roots,1.20E-01,,,,,6.40E-01,,1,5.20E+00,,1,Ghana,Tano basin (CS3),Am,N,F,,R,,Washed,0-20,,,,,,,,,,,0,1,1,2
82,U,U-238,Cassava,Manihot esculenta,Roots,1.00E-01,,,,,8.90E-01,,1,8.90E+00,,1,Ghana,Tano basin (CS4),Am,N,F,,R,,Washed,0-20,,,,,,,,,,,0,1,1,2
83,U,U-238,Cassava,Manihot esculenta,Roots,1.00E-01,,,,,1.00E+00,,1,1.10E+01,,1,Ghana,Tano basin (CS5),Am,N,F,,R,,Washed,0-20,,,,,,,,,,,0,1,1,2
84,Th,Th-232,Cassava,Manihot esculenta,Roots,1.00E-01,,,,,6.20E-01,,1,6.20E+00,,1,Ghana,Tano basin (CS1),Am,N,F,,R,,Washed,0-20,,,,,,,,,,,0,1,1,2
85,Th,Th-232,Cassava,Manihot esculenta,Roots,2.00E-02,,,,,4.90E-01,,1,3.20E+01,,1,Ghana,Tano basin (CS2),Am,N,F,,R,,Washed,0-20,,,,,,,,,,,0,1,1,2
86,Th,Th-232,Cassava,Manihot esculenta,Roots,8.00E-02,,,,,5.70E-01,,1,7.40E+00,,1,Ghana,Tano basin (CS3),Am,N,F,,R,,Washed,0-20,,,,,,,,,,,0,1,1,2
87,Th,Th-232,Cassava,Manihot esculenta,Roots,1.00E-02,,,,,1.60E-01,,1,1.70E+01,,1,Ghana,Tano basin (CS4),Am,N,F,,R,,Washed,0-20,,,,,,,,,,,0,1,1,2
88,Th,Th-232,Cassava,Manihot esculenta,Roots,4.00E-02,,,,,7.50E-01,,1,1.80E+01,,1,Ghana,Tano basin (CS5),Am,N,F,,R,,Washed,0-20,,,,,,,,,,,0,1,1,2
89,K,K-40,Cassava,Manihot esculenta,Roots,2.80E-01,,,,,3.70E+01,,1,1.30E+02,,1,Ghana,Tano basin (CS1),Am,N,F,,R,,Washed,0-20,,,,,,,,,,,0,1,1,2
90,K,K-40,Cassava,Manihot esculenta,Roots,1.20E-01,,,,,4.10E+01,,1,3.40E+02,,1,Ghana,Tano basin (CS2),Am,N,F,,R,,Washed,0-20,,,,,,,,,,,0,1,1,2
91,K,K-40,Cassava,Manihot esculenta,Roots,4.00E-02,,,,,8.50E+00,,1,1.90E+02,,1,Ghana,Tano basin (CS3),Am,N,F,,R,,Washed,0-20,,,,,,,,,,,0,1,1,2
92,K,K-40,Cassava,Manihot esculenta,Roots,8.00E-02,,,,,2.70E+01,,1,3.50E+02,,1,Ghana,Tano basin (CS4),Am,N,F,,R,,Washed,0-20,,,,,,,,,,,0,1,1,2
93,K,K-40,Cassava,Manihot esculenta,Roots,7.00E-02,,,,,1.40E+01,,1,2.10E+02,,1,Ghana,Tano basin (CS5),Am,N,F,,R,,Washed,0-20,,,,,,,,,,,0,1,1,2
94,Al,,Rice,Oryza sativa,Shoots,,,,,,5.50E+01,,,9.20E+04,,,Malaysia,"Ranau Valley (S1), Sabah State",Af,SI,F,,,,Washed,0-20,Silty clay loam,7.41-33.44,33.21-69.02,13.55-46.98,13.28,,,,,5.93,0,1,0.5,3
95,Al,,Rice,Oryza sativa,Shoots,,,,,,9.50E+01,,,7.90E+04,,,Malaysia,"Ranau Valley (S2), Sabah State",Af,SI,F,,,,Washed,0-20,Silty clay loam,7.41-33.44,33.21-69.02,13.55-46.98,12.09,,,,,5.95,0,1,0.5,3
96,Al,,Rice,Oryza sativa,Shoots,,,,,,1.20E+02,,,8.70E+04,,,Malaysia,"Ranau Valley (S3), Sabah State",Af,SI,F,,,,Washed,0-20,Silty clay loam,7.41-33.44,33.21-69.02,13.55-46.98,12.16,,,,,6.02,0,1,0.5,3
97,Al,,Rice,Oryza sativa,Shoots,,,,,,1.90E+02,,,6.00E+04,,,Malaysia,"Ranau Valley (S4), Sabah State",Af,SI,F,,,,Washed,0-20,Silty clay loam,7.41-33.44,33.21-69.02,13.55-46.98,11.95,,,,,5.68,0,1,0.5,3
98,Al,,Rice,Oryza sativa,Roots,,,,,,6.80E+03,,,9.20E+04,,,Malaysia,"Ranau Valley (S1), Sabah State",Af,SI,F,,,,Washed,0-20,Silty clay loam,7.41-33.44,33.21-69.02,13.55-46.98,13.28,,,,,5.93,0,1,0.5,3
99,Al,,Rice,Oryza sativa,Roots,,,,,,7.60E+03,,,7.90E+04,,,Malaysia,"Ranau Valley (S2), Sabah State",Af,SI,F,,,,Washed,0-20,Silty clay loam,7.41-33.44,33.21-69.02,13.55-46.98,12.09,,,,,5.95,0,1,0.5,3
100,Al,,Rice,Oryza sativa,Roots,,,,,,1.00E+04,,,8.70E+04,,,Malaysia,"Ranau Valley (S3), Sabah State",Af,SI,F,,,,Washed,0-20,Silty clay loam,7.41-33.44,33.21-69.02,13.55-46.98,12.16,,,,,6.02,0,1,0.5,3
101,Al,,Rice,Oryza sativa,Roots,,,,,,9.00E+03,,,6.00E+04,,,Malaysia,"Ranau Valley (S4), Sabah State",Af,SI,F,,,,Washed,0-20,Silty clay loam,7.41-33.44,33.21-69.02,13.55-46.98,11.95,,,,,5.68,0,1,0.5,3
102,Cr,,Rice,Oryza sativa,Shoots,,,,,,1.50E+01,,,8.60E+03,,,Malaysia,"Ranau Valley (S1), Sabah State",Af,SI,F,,,,Washed,0-20,Silty clay loam,7.41-33.44,33.21-69.02,13.55-46.98,13.28,,,,,5.93,0,1,0.5,3
103,Cr,,Rice,Oryza sativa,Shoots,,,,,,1.90E+01,,,7.70E+03,,,Malaysia,"Ranau Valley (S2), Sabah State",Af,SI,F,,,,Washed,0-20,Silty clay loam,7.41-33.44,33.21-69.02,13.55-46.98,12.09,,,,,5.95,0,1,0.5,3
104,Cr,,Rice,Oryza sativa,Shoots,,,,,,2.40E+01,,,8.20E+03,,,Malaysia,"Ranau Valley (S3), Sabah State",Af,SI,F,,,,Washed,0-20,Silty clay loam,7.41-33.44,33.21-69.02,13.55-46.98,12.16,,,,,6.02,0,1,0.5,3
105,Cr,,Rice,Oryza sativa,Shoots,,,,,,4.20E+01,,,4.90E+03,,,Malaysia,"Ranau Valley (S4), Sabah State",Af,SI,F,,,,Washed,0-20,Silty clay loam,7.41-33.44,33.21-69.02,13.55-46.98,11.95,,,,,5.68,0,1,0.5,3
106,Cr,,Rice,Oryza sativa,Roots,,,,,,5.90E+02,,,8.60E+03,,,Malaysia,"Ranau Valley (S1), Sabah State",Af,SI,F,,,,Washed,0-20,Silty clay loam,7.41-33.44,33.21-69.02,13.55-46.98,13.28,,,,,5.93,0,1,0.5,3
107,Cr,,Rice,Oryza sativa,Roots,,,,,,6.60E+02,,,7.70E+03,,,Malaysia,"Ranau Valley (S2), Sabah State",Af,SI,F,,,,Washed,0-20,Silty clay loam,7.41-33.44,33.21-69.02,13.55-46.98,12.09,,,,,5.95,0,1,0.5,3
108,Cr,,Rice,Oryza sativa,Roots,,,,,,9.50E+02,,,8.20E+03,,,Malaysia,"Ranau Valley (S3), Sabah State",Af,SI,F,,,,Washed,0-20,Silty clay loam,7.41-33.44,33.21-69.02,13.55-46.98,12.16,,,,,6.02,0,1,0.5,3
