,slope,intercept,r_dist,p_dist,n
Cs137,-0.009263496560732089,2.6964480779133453,-0.3163490029959046,3.900044493620244e-32,1323.0
Sr90,-0.017883254193334187,2.2311488436659044,-0.49321466054067203,1.016733968313967e-73,1186.0
Pu239_240,-0.011349514293871677,0.9958784547573835,-0.7646955316693528,2.978195571959974e-19,94.0
Eu154,-0.04684672989507043,1.5686872459421228,-0.6350076134129337,5.00131384892707e-58,502.0
