,Cs137,Cs134,Sr90,Eu154,Pu238,Pu239_240
Cs137,1.0,0.9479626754511078,0.852642532781308,0.770590912106288,0.7876361964930622,0.7730835922461724
Cs134,0.9479626754511078,1.0,0.7745420862752633,0.6871055967770263,0.30375408194863124,0.2715744281694206
Sr90,0.852642532781308,0.7745420862752634,1.0,0.9224322064249248,0.9584400578366786,0.9608333303291904
Eu154,0.7705909121062882,0.6871055967770263,0.9224322064249246,1.0,0.9539898687195799,0.9558911809128174
Pu238,0.7876361964930622,0.30375408194863124,0.9584400578366786,0.9539898687195799,0.9999999999999999,0.9932479796621232
Pu239_240,0.7730835922461725,0.2715744281694206,0.9608333303291903,0.9558911809128176,0.9932479796621232,1.0
