,thr,mean_p,max_p,area_gt50,area_gt90,rho,area_gt10
Cs137_relocation,3.7,0.0011588329290905916,0.9998032215100571,0.06611570247933884,0.06611570247933884,,
Cs137_agricultural,1.48,0.1305539549432626,1.0,8.760330578512397,5.1570247933884295,,
Sr90_food_chain,2.0,0.02744568331880638,1.0,1.1900826446280992,0.7603305785123967,,
joint_CsSr,,0.0009622191450391741,,,,0.8600859863592342,0.09917355371900827
