,Cs137,Cs134,Sr90,Eu154,Pu238,Pu239_240
Cs137,0.0,0.0,0.0,1.2416720554571886e-104,1.320035311393386e-25,4.8129062809972284e-24
Cs134,0.0,0.0,2.6592743923879257e-132,1.005332614188651e-51,0.05908653291082677,0.1118474906981109
Sr90,0.0,2.6592743923879257e-132,0.0,3.5118375956222665e-194,2.523899472729117e-60,3.5867162455777727e-56
Eu154,1.2416720554571886e-104,1.005332614188651e-51,3.5118375956222665e-194,0.0,4.005431104640069e-23,6.131509603754309e-22
Pu238,1.320035311393386e-25,0.05908653291082677,2.523899472729117e-60,4.005431104640069e-23,0.0,7.922081863167629e-92
Pu239_240,4.8129062809972284e-24,0.1118474906981109,3.5867162455777727e-56,6.131509603754309e-22,7.922081863167629e-92,0.0
