,Cs137,Cs134,Sr90,Eu154,Pu238,Pu239_240
Cs137,1.0,0.9499144473782196,0.8600859863592342,0.7817840159010689,0.8350553711330333,0.8202608304329355
Cs134,0.9499144473782196,1.0,0.7615915262909484,0.6526407828385278,0.2561363509600923,0.21680907440151764
Sr90,0.8600859863592342,0.7615915262909484,1.0,0.9110815874514341,0.9729273210148306,0.966569178961884
Eu154,0.7817840159010689,0.6526407828385278,0.9110815874514341,1.0,0.9341880420318507,0.925976144604916
Pu238,0.8350553711330333,0.2561363509600923,0.9729273210148306,0.9341880420318507,1.0,0.994464392056434
Pu239_240,0.8202608304329355,0.21680907440151764,0.966569178961884,0.925976144604916,0.994464392056434,1.0
