,Cs137,Cs134,Sr90,Eu154,Pu238,Pu239_240
Cs137,0.0,0.0,0.0,7.031313936983198e-100,4.6805819291161844e-21,6.901713567476027e-20
Cs134,0.0,0.0,1.3678063834768922e-139,2.8842897901975734e-59,0.024163527122192642,0.044892826988562506
Sr90,0.0,1.3678063834768267e-139,0.0,2.420681413501536e-208,6.665192073171464e-52,4.5948509423449375e-53
Eu154,7.031313936982714e-100,2.8842897901975734e-59,2.4206814135033314e-208,0.0,9.317053533892483e-27,3.457129287040945e-27
Pu238,4.6805819291161844e-21,0.024163527122192642,6.665192073171464e-52,9.317053533892483e-27,0.0,7.169993235403243e-88
Pu239_240,6.901713567475938e-20,0.044892826988562506,4.594850942345505e-53,3.4571292870407334e-27,7.169993235403243e-88,0.0
