,Cs137,Cs134,Sr90,Eu154,Pu238,Pu239_240
distance_km,0.02025808693476559,0.030005101152301695,0.05025857110076384,0.041271602046010394,0.10325681795593954,0.10207622359538027
log_distance,0.21110808091190225,0.22641190733469824,0.21346669393154577,0.2866096971777951,0.12651072549745002,0.13564402882730547
sin_angle,0.32705391230414765,0.3331862312098997,0.285542435767445,0.2741110455458783,0.19182450080938826,0.19618792906939883
cos_angle,0.29068698030465145,0.2544813009194851,0.27840906049791386,0.2084704685793909,0.42215755384055004,0.4119259733803096
pH_H20,0.04425128293153237,0.04421154612486333,0.04603850058355461,0.05604206026508579,0.047456923823942204,0.04792341558248524
pH_KCl,0.03368243343045584,0.03198313930501607,0.03493422759234359,0.03866114110731577,0.03420552910648709,0.03265001065021078
Humus,0.019089303727231922,0.01857494047425369,0.028618585581493088,0.03154835424113623,0.02865023067635196,0.029502190324645378
P2O5,0.008986854486896264,0.009170191972655315,0.010439985409160212,0.013502388332866976,0.013479993360327843,0.012678241593470113
K2O,0.04488306492375008,0.0519756414649771,0.052291939486924024,0.04978324265422576,0.032457724859298286,0.031411986910973806
