,obs_mean,obs_std,obs_n,pred_mean,pred_std,ks_stat,ks_p
Cs137,2.4835391232427364,0.6873201422491264,1323.0,0.4019968274998295,0.6566511756282267,0.8753649044558135,0.0
Cs134,0.9264533490220113,0.4910916791904118,779.0,0.05648178082291506,0.19870421152396506,0.8859241027382001,3.5e-322
Sr90,1.8203017920415616,0.8896936873800834,1186.0,0.15855208329465825,0.42138047801881784,0.8333767229244771,3.1e-322
Eu154,0.8700046933918485,0.62519288955956,502.0,0.017948425118165964,0.12177673202320143,0.8514128609528827,7.5e-322
Pu238,-0.03715295187923541,1.168815489294018,94.0,-1.4479407312826795,0.5912826090911273,0.6235097590997011,1.2680014588692133e-34
Pu239_240,0.3818505492949593,1.033823406156132,94.0,-0.7382338342394381,0.44005426891154836,0.6204149815368384,3.0355802290342826e-34
