Radionuclide,N_obs,Cov_pct,sigma2,ell,nugget,R2_vario,R2_CV,RMSE_CV,MAE_CV,Bias,Cov95,Shapiro_p
Cs137,1323,100.0,0.5304640033514396,0.12418677140146883,0.10039662352792722,0.9909574009542724,0.7607695788861343,0.3361764398807303,0.2323794740438121,-0.023858658412166386,0.6318972033257747,2.773971607431137e-23
Cs134,779,58.88,0.24638338535913026,0.17995250963326248,0.10540374674453895,0.9866898297800543,0.5928240389173272,0.3133672748173598,0.23537015116910665,-0.0015626713133184546,0.4621309370988447,2.608235563630647e-09
Sr90,1186,89.64,0.8109217432546834,0.13381369455323736,0.1949388469937416,0.9961207187824735,0.7652032092862406,0.4311085016361283,0.3248453179688337,-0.007290354788635051,0.575885328836425,7.08918510974988e-09
Eu154,502,37.94,0.3464700402058045,0.12556238836260386,0.16161208649015246,0.963100516477457,0.6201414783405543,0.3853230301773498,0.2915303320480874,-0.0004349386316257314,0.5418326693227091,0.0004043618660629904
Pu238,94,7.11,5.837484639340307,1.3594640729556038,0.14477228116143798,0.9607689364711081,0.8945350524481127,0.37957712217260153,0.2922457139758977,0.010612575821249864,0.6170212765957447,0.06574829819905459
Pu239_240,94,7.11,2.960441750394075,0.941847259287691,0.14837947374813473,0.9513229475371096,0.8768853134857408,0.3627448808937934,0.26908166810803796,0.01848609735515803,0.6382978723404256,0.0011995515795116248
