,Cs137,Sr90
distance_km,0.25786468928407374,0.2989409692428807
angle_deg,0.563248237764155,0.47825859543850613
pH_H20,0.07580714816523737,0.10096980165169103
Humus,0.02297644958220658,0.025658864037745966
pH_KCl,0.08010347520432728,0.09617176962917616
