,corr,p,slope,n
Cs137_pH_H20,-0.04850554316684958,0.11263064842540112,-0.04230243172980662,1071.0
Cs137_Humus,-0.026781081868746507,0.3933358068755673,-0.0024481541165173337,1018.0
Sr90_pH_H20,-0.04987886023470814,0.11771905738576441,-0.0554082132101882,985.0
Sr90_Humus,-0.026552832010294843,0.41812546185642646,-0.0030357451352882904,932.0
