,grid_mean,grid_std,grid_min,grid_max,unc_mean,unc_max,cv_r2,n_obs
Cs137,0.4019968274998295,0.6566511756282267,6.96030600700544e-08,4.0769919884122485,0.6703117251967461,0.7283295980196323,0.7607695788861343,1323.0
Cs134,0.05648178082291506,0.19870421152396506,-0.0006391831386793954,1.6811171389191282,0.47736604277463385,0.49637020998356685,0.5928240389173272,779.0
Sr90,0.15855208329465825,0.42138047801881784,-0.32002685320777946,3.8532525675407663,0.8256105596438578,0.9005119339879228,0.7652032092862406,1186.0
Eu154,0.017948425118165964,0.12177673202320143,-0.39188586189148444,2.061970489098001,0.5729695202813624,0.5886170573520653,0.6201414783405543,502.0
Pu238,-1.4479407312826795,0.5912826090911273,-2.3758553464581085,1.2736051710968963,0.9444782304456,2.1231355513138146,0.8945350524481127,94.0
Pu239_240,-0.7382338342394381,0.44005426891154836,-1.4049113024425102,1.5513669625846593,0.8884244388752767,1.6575750844131214,0.8768853134857408,94.0
