,r2,rmse,mae,corr,bias,bias_std,cov68,cov95,crps,n,mean_std,shapiro_W,shapiro_p
Cs137,0.7607695788861343,0.3361764398807303,0.2323794740438121,0.8758849228990423,-0.023858658412166386,0.33532873892592896,0.3801965230536659,0.6318972033257747,0.29468339942524463,1323.0,0.12460785076286517,0.9367181770306562,2.773971607431137e-23
Cs134,0.5928240389173272,0.3133672748173598,0.23537015116910665,0.7706228369690391,-0.0015626713133184546,0.3133633784998261,0.23234916559691912,0.4621309370988447,0.27793802636684306,779.0,0.08513575039547286,0.9784352892407364,2.608235563630647e-09
Sr90,0.7652032092862406,0.4311085016361283,0.3248453179688337,0.8748268779006827,-0.007290354788635051,0.4310468546573602,0.3440134907251265,0.575885328836425,0.4069884024306356,1186.0,0.16428616892360384,0.9868041677930951,7.08918510974988e-09
Eu154,0.6201414783405543,0.3853230301773498,0.2915303320480874,0.7876419444510887,-0.0004349386316257314,0.38532278470581205,0.30876494023904383,0.5418326693227091,0.3563698644243874,502.0,0.12967906475259994,0.9880689191182408,0.0004043618660629904
Pu238,0.8945350524481127,0.37957712217260153,0.2922457139758977,0.9458432937894361,0.010612575821249864,0.3794287349572674,0.425531914893617,0.6170212765957447,0.4101566407716035,94.0,0.23582185359141172,0.9747733178793913,0.06574829819905459
Pu239_240,0.8768853134857408,0.3627448808937934,0.26908166810803796,0.9366448998439597,0.01848609735515803,0.3622735331475762,0.46808510638297873,0.6382978723404256,0.3927191766561203,94.0,0.2472750170961648,0.9496578853278226,0.0011995515795116248
