,r2_tr,r2_te,rmse,mae,bias,bias_std,shapiro_W,shapiro_p,n_tr,n_te,arch,dropout,n_params
log_Cs137,0.7342940922515735,0.6022363314116441,0.43273655596258576,0.31221280810100255,-0.17229210586958718,0.39695888593327033,0.9609315482848406,4.409688695183818e-06,948.0,238.0,"[128, 64, 32]",0.15,11618
log_Sr90,0.7256298103559317,0.6446843890198062,0.527693018356216,0.4197495239468217,-0.15747196951365441,0.5036491838962756,0.9954088080174657,0.7003247895983449,948.0,238.0,"[128, 64, 32]",0.15,11618
