,alpha,raw50,cal50,cal90,raw10,cal10
Cs137_relocation,3.627,0.06611570247933884,0.06611570247933884,0.0,,
Cs137_agricultural,3.627,8.760330578512397,8.760330578512397,2.115702479338843,,
Sr90_food_chain,3.506,1.1900826446280992,1.1900826446280992,0.2975206611570248,,
joint_CsSr,,,,,0.09917355371900827,0.8925619834710744
