,num,den,desc,mean,std,median,mean_unc,range_min,range_max
Cs/Sr,Cs137,Sr90,Volatility fractionation,0.24344474420517126,0.3933732419180276,0.03622126655528362,1.0634760344055239,-0.015572865851721046,2.31728588336702
Pu/Cs,Pu239_240,Cs137,Fuel-particle indicator,-1.1402306617392675,0.5975940113355839,-0.9925541605959862,1.1355030350363202,-3.9584571142810514,0.20124140676208713
Cs134/Cs137,Cs134,Cs137,Decay dating,-0.3455150466769145,0.5241756070082053,-0.05522995027244742,0.8246152246539468,-2.4764302552087702,0.004875806769296925
Pu239/Pu238,Pu239_240,Pu238,Burnup indicator,0.7097068970432414,0.21610172353679347,0.7171751193795315,1.2980636286932052,0.1103932510628417,1.1575348928498492
