,Cs137,Cs134,Sr90,Eu154,Pu238,Pu239_240
Cs137,0.9999999999999997,0.949914447378218,0.860085986359234,0.7817840159010683,0.8350553711330332,0.8202608304329356
Cs134,0.949914447378218,1.0,0.7615915262909491,0.652640782838528,0.2561363509600924,0.21680907440151775
Sr90,0.860085986359234,0.7615915262909491,1.0,0.9110815874514344,0.97292732101483,0.9665691789618837
Eu154,0.7817840159010683,0.652640782838528,0.9110815874514344,1.0,0.9341880420318506,0.9259761446049156
Pu238,0.8350553711330332,0.2561363509600924,0.97292732101483,0.9341880420318506,1.0,0.9944643920564336
Pu239_240,0.8202608304329356,0.21680907440151775,0.9665691789618837,0.9259761446049156,0.9944643920564336,1.0
